Project Name,Package Name,Type Name,Code Smell
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalControllerTest,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.ai,FinishAndRemove,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.ai,BehaviorTreeTest,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.ai,BehaviorTreeTest,Deficient Encapsulation
CitizensAPI,net.citizensnpcs.api.ai,CountedBehavior,Deficient Encapsulation
CitizensAPI,net.citizensnpcs.api.ai,NavigatorParameters,Cyclic-Dependent Modularization
CitizensAPI,net.citizensnpcs.api.ai,NavigatorParameters,Insufficient Modularization
CitizensAPI,net.citizensnpcs.api.ai,StuckAction,Cyclic-Dependent Modularization
CitizensAPI,net.citizensnpcs.api.ai,GoalSelector,Cyclic-Dependent Modularization
CitizensAPI,net.citizensnpcs.api.ai,Navigator,Cyclic-Dependent Modularization
CitizensAPI,net.citizensnpcs.api.ai,AbstractPathStrategy,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.ai,EntityTarget,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalController,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalController,Insufficient Modularization
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalSelector,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.ai,TeleportStuckAction,Deficient Encapsulation
CitizensAPI,net.citizensnpcs.api.ai,Goal,Cyclic-Dependent Modularization
CitizensAPI,net.citizensnpcs.api.ai,PathStrategy,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,Deficient Encapsulation
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,Insufficient Modularization
CitizensAPI,net.citizensnpcs.api.persistence,CollectionTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,IllegalCollectionClassTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,InferenceTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,InferenceTest,Deficient Encapsulation
CitizensAPI,net.citizensnpcs.api.persistence,ListTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,LongLoadSaveTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,LongLoadSaveTest,Deficient Encapsulation
CitizensAPI,net.citizensnpcs.api.persistence,ReifiedListTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,ReifiedListValue,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,RequiredTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,SaveLoadTest,Deficient Encapsulation
CitizensAPI,net.citizensnpcs.api.persistence,SaveLoadTest,Broken Modularization
CitizensAPI,net.citizensnpcs.api.persistence,SpecificCollectionClassTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,StaticPersistenceTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,Superclass,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,Superclass,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,Superclass,Deficient Encapsulation
CitizensAPI,net.citizensnpcs.api.persistence,SuperclassTest,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,SuperclassTest,Unutilized Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,SuperclassTest,Deficient Encapsulation
CitizensAPI,net.citizensnpcs.api.persistence,TestMap,Unnecessary Abstraction
CitizensAPI,net.citizensnpcs.api.persistence,TestMapReify,Unnecessary Abstraction
