Project Name,Package Name,Type Name,Method Name,Code Smell
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalControllerTest,random,Magic Number
CitizensAPI,net.citizensnpcs.api.ai,BehaviorTreeTest,failureSequence,Magic Number
CitizensAPI,net.citizensnpcs.api.ai,BehaviorTreeTest,failureSequence,Magic Number
CitizensAPI,net.citizensnpcs.api.ai,BehaviorTreeTest,failureSequence,Magic Number
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalController,addPrioritisableGoal,Long Statement
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalController,getBehavior,Long Statement
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalController,removeGoal,Complex Method
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalController,trySelectGoal,Complex Method
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalEntry,getBehavior,Long Statement
CitizensAPI,net.citizensnpcs.api.ai,SimpleGoalEntry,hashCode,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,canAccessPrivateMembers,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,canAccessPrivateMembers,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,floatArrays,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,floatArrays,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,floatArrays,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,loadsCollections,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,loadsCollections,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,longLoadSaveTest,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,longLoadSaveTest,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,longLoadSaveTestYaml,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,longLoadSaveTestYaml,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,mapReify,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,mapReify,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,testReifiedLists,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,testReifiedLists,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,testSuperClass,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,testSuperClass,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,testSuperClass,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,usesSpecificCollectionClass,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,PersistenceLoaderTest,usesSpecificCollectionClass,Magic Number
CitizensAPI,net.citizensnpcs.api.persistence,LocationPersister,create,Long Statement
